date,datatype,station,attributes,value
2022-01-01T00:00:00,ADPT,GHCND:USW00014732,",,W,",100.0
2022-01-01T00:00:00,ASLP,GHCND:USW00014732,",,W,",10078.0
2022-01-01T00:00:00,ASTP,GHCND:USW00014732,",,W,",10078.0
2022-01-01T00:00:00,AWBT,GHCND:USW00014732,",,W,",106.0
2022-01-01T00:00:00,AWND,GHCND:USW00014732,",,W,",2.8
2022-01-01T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",19.3
2022-01-01T00:00:00,RHAV,GHCND:USW00014732,",,W,",89.0
2022-01-01T00:00:00,RHMN,GHCND:USW00014732,",,W,",83.0
2022-01-01T00:00:00,RHMX,GHCND:USW00014732,",,W,",93.0
2022-01-01T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-01T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-01T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",11.6
2022-01-01T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",13.9
2022-01-01T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",10.0
2022-01-01T00:00:00,WDF2,GHCND:USW00014732,",,W,",200.0
2022-01-01T00:00:00,WDF5,GHCND:USW00014732,",,W,",200.0
2022-01-01T00:00:00,WSF2,GHCND:USW00014732,",,W,",6.3
2022-01-01T00:00:00,WSF5,GHCND:USW00014732,",,W,",7.6
2022-01-01T00:00:00,WT01,GHCND:USW00014732,",,W,",1.0
2022-01-02T00:00:00,ADPT,GHCND:USW00014732,",,W,",67.0
2022-01-02T00:00:00,ASLP,GHCND:USW00014732,",,W,",10051.0
2022-01-02T00:00:00,ASTP,GHCND:USW00014732,",,W,",10024.0
2022-01-02T00:00:00,AWBT,GHCND:USW00014732,",,W,",83.0
2022-01-02T00:00:00,AWND,GHCND:USW00014732,",,W,",4.3
2022-01-02T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",1.0
2022-01-02T00:00:00,RHAV,GHCND:USW00014732,",,W,",80.0
2022-01-02T00:00:00,RHMN,GHCND:USW00014732,",,W,",63.0
2022-01-02T00:00:00,RHMX,GHCND:USW00014732,",,W,",93.0
2022-01-02T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-02T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-02T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",11.4
2022-01-02T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",15.6
2022-01-02T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",3.9
2022-01-02T00:00:00,WDF2,GHCND:USW00014732,",,W,",310.0
2022-01-02T00:00:00,WDF5,GHCND:USW00014732,",,W,",310.0
2022-01-02T00:00:00,WSF2,GHCND:USW00014732,",,W,",12.5
2022-01-02T00:00:00,WSF5,GHCND:USW00014732,",,W,",14.8
2022-01-02T00:00:00,WT01,GHCND:USW00014732,",,W,",1.0
2022-01-03T00:00:00,ADPT,GHCND:USW00014732,",,W,",-100.0
2022-01-03T00:00:00,ASLP,GHCND:USW00014732,",,W,",10196.0
2022-01-03T00:00:00,ASTP,GHCND:USW00014732,",,W,",10169.0
2022-01-03T00:00:00,AWBT,GHCND:USW00014732,",,W,",-39.0
2022-01-03T00:00:00,AWND,GHCND:USW00014732,",,W,",6.4
2022-01-03T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-03T00:00:00,RHAV,GHCND:USW00014732,",,W,",49.0
2022-01-03T00:00:00,RHMN,GHCND:USW00014732,",,W,",38.0
2022-01-03T00:00:00,RHMX,GHCND:USW00014732,",,W,",62.0
2022-01-03T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-03T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-03T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",1.4
2022-01-03T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",3.9
2022-01-03T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-4.3
2022-01-03T00:00:00,WDF2,GHCND:USW00014732,",,W,",340.0
2022-01-03T00:00:00,WDF5,GHCND:USW00014732,",,W,",350.0
2022-01-03T00:00:00,WSF2,GHCND:USW00014732,",,W,",12.5
2022-01-03T00:00:00,WSF5,GHCND:USW00014732,",,W,",15.2
2022-01-04T00:00:00,ADPT,GHCND:USW00014732,",,W,",-117.0
2022-01-04T00:00:00,ASLP,GHCND:USW00014732,",,W,",10281.0
2022-01-04T00:00:00,ASTP,GHCND:USW00014732,",,W,",10268.0
2022-01-04T00:00:00,AWBT,GHCND:USW00014732,",,W,",-44.0
2022-01-04T00:00:00,AWND,GHCND:USW00014732,",,W,",3.9
2022-01-04T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-04T00:00:00,RHAV,GHCND:USW00014732,",,W,",48.0
2022-01-04T00:00:00,RHMN,GHCND:USW00014732,",,W,",35.0
2022-01-04T00:00:00,RHMX,GHCND:USW00014732,",,W,",60.0
2022-01-04T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-04T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-04T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-2.7
2022-01-04T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",2.2
2022-01-04T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-6.0
2022-01-04T00:00:00,WDF2,GHCND:USW00014732,",,W,",320.0
2022-01-04T00:00:00,WDF5,GHCND:USW00014732,",,W,",350.0
2022-01-04T00:00:00,WSF2,GHCND:USW00014732,",,W,",8.9
2022-01-04T00:00:00,WSF5,GHCND:USW00014732,",,W,",12.1
2022-01-05T00:00:00,ADPT,GHCND:USW00014732,",,W,",6.0
2022-01-05T00:00:00,ASLP,GHCND:USW00014732,",,W,",10132.0
2022-01-05T00:00:00,ASTP,GHCND:USW00014732,",,W,",10139.0
2022-01-05T00:00:00,AWBT,GHCND:USW00014732,",,W,",33.0
2022-01-05T00:00:00,AWND,GHCND:USW00014732,",,W,",3.4
2022-01-05T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",6.1
2022-01-05T00:00:00,RHAV,GHCND:USW00014732,",,W,",76.0
2022-01-05T00:00:00,RHMN,GHCND:USW00014732,",,W,",52.0
2022-01-05T00:00:00,RHMX,GHCND:USW00014732,",,W,",86.0
2022-01-05T00:00:00,SNOW,GHCND:USW00014732,"T,,W,",0.0
2022-01-05T00:00:00,SNWD,GHCND:USW00014732,"T,,W,2400",0.0
2022-01-05T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",3.2
2022-01-05T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",8.9
2022-01-05T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",0.0
2022-01-05T00:00:00,WDF2,GHCND:USW00014732,",,W,",250.0
2022-01-05T00:00:00,WDF5,GHCND:USW00014732,",,W,",200.0
2022-01-05T00:00:00,WSF2,GHCND:USW00014732,",,W,",6.7
2022-01-05T00:00:00,WSF5,GHCND:USW00014732,",,W,",10.7
2022-01-05T00:00:00,WT01,GHCND:USW00014732,",,W,",1.0
2022-01-05T00:00:00,WT08,GHCND:USW00014732,",,W,",1.0
2022-01-06T00:00:00,ADPT,GHCND:USW00014732,",,W,",-72.0
2022-01-06T00:00:00,ASLP,GHCND:USW00014732,",,W,",10115.0
2022-01-06T00:00:00,ASTP,GHCND:USW00014732,",,W,",10095.0
2022-01-06T00:00:00,AWBT,GHCND:USW00014732,",,W,",0.0
2022-01-06T00:00:00,AWND,GHCND:USW00014732,",,W,",5.0
2022-01-06T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-06T00:00:00,RHAV,GHCND:USW00014732,",,W,",45.0
2022-01-06T00:00:00,RHMN,GHCND:USW00014732,",,W,",33.0
2022-01-06T00:00:00,RHMX,GHCND:USW00014732,",,W,",73.0
2022-01-06T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-06T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-06T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.9
2022-01-06T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",6.1
2022-01-06T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",2.2
2022-01-06T00:00:00,WDF2,GHCND:USW00014732,",,W,",290.0
2022-01-06T00:00:00,WDF5,GHCND:USW00014732,",,W,",270.0
2022-01-06T00:00:00,WSF2,GHCND:USW00014732,",,W,",12.5
2022-01-06T00:00:00,WSF5,GHCND:USW00014732,",,W,",14.8
2022-01-07T00:00:00,ADPT,GHCND:USW00014732,",,W,",-67.0
2022-01-07T00:00:00,ASLP,GHCND:USW00014732,",,W,",10125.0
2022-01-07T00:00:00,ASTP,GHCND:USW00014732,",,W,",10102.0
2022-01-07T00:00:00,AWBT,GHCND:USW00014732,",,W,",-22.0
2022-01-07T00:00:00,AWND,GHCND:USW00014732,",,W,",8.3
2022-01-07T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",8.4
2022-01-07T00:00:00,RHAV,GHCND:USW00014732,",,W,",63.0
2022-01-07T00:00:00,RHMN,GHCND:USW00014732,",,W,",44.0
2022-01-07T00:00:00,RHMX,GHCND:USW00014732,",,W,",88.0
2022-01-07T00:00:00,SNOW,GHCND:USW00014732,",,W,",246.0
2022-01-07T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",200.0
2022-01-07T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",0.7
2022-01-07T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",2.2
2022-01-07T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-2.1
2022-01-07T00:00:00,WDF2,GHCND:USW00014732,",,W,",300.0
2022-01-07T00:00:00,WDF5,GHCND:USW00014732,",,W,",290.0
2022-01-07T00:00:00,WSF2,GHCND:USW00014732,",,W,",13.0
2022-01-07T00:00:00,WSF5,GHCND:USW00014732,",,W,",17.4
2022-01-07T00:00:00,WT01,GHCND:USW00014732,",,W,",1.0
2022-01-08T00:00:00,ADPT,GHCND:USW00014732,",,W,",-139.0
2022-01-08T00:00:00,ASLP,GHCND:USW00014732,",,W,",10332.0
2022-01-08T00:00:00,ASTP,GHCND:USW00014732,",,W,",10305.0
2022-01-08T00:00:00,AWBT,GHCND:USW00014732,",,W,",-56.0
2022-01-08T00:00:00,AWND,GHCND:USW00014732,",,W,",4.8
2022-01-08T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-08T00:00:00,RHAV,GHCND:USW00014732,",,W,",43.0
2022-01-08T00:00:00,RHMN,GHCND:USW00014732,",,W,",30.0
2022-01-08T00:00:00,RHMX,GHCND:USW00014732,",,W,",55.0
2022-01-08T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-08T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",130.0
2022-01-08T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-2.5
2022-01-08T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",0.0
2022-01-08T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-4.9
2022-01-08T00:00:00,WDF2,GHCND:USW00014732,",,W,",310.0
2022-01-08T00:00:00,WDF5,GHCND:USW00014732,",,W,",300.0
2022-01-08T00:00:00,WSF2,GHCND:USW00014732,",,W,",12.5
2022-01-08T00:00:00,WSF5,GHCND:USW00014732,",,W,",15.7
2022-01-09T00:00:00,ADPT,GHCND:USW00014732,",,W,",-33.0
2022-01-09T00:00:00,ASLP,GHCND:USW00014732,",,W,",10224.0
2022-01-09T00:00:00,ASTP,GHCND:USW00014732,",,W,",10230.0
2022-01-09T00:00:00,AWBT,GHCND:USW00014732,",,W,",6.0
2022-01-09T00:00:00,AWND,GHCND:USW00014732,",,W,",4.9
2022-01-09T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",2.8
2022-01-09T00:00:00,RHAV,GHCND:USW00014732,",,W,",65.0
2022-01-09T00:00:00,RHMN,GHCND:USW00014732,",,W,",41.0
2022-01-09T00:00:00,RHMX,GHCND:USW00014732,",,W,",83.0
2022-01-09T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-09T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",80.0
2022-01-09T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",1.4
2022-01-09T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",5.6
2022-01-09T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-1.0
2022-01-09T00:00:00,WDF2,GHCND:USW00014732,",,W,",210.0
2022-01-09T00:00:00,WDF5,GHCND:USW00014732,",,W,",210.0
2022-01-09T00:00:00,WSF2,GHCND:USW00014732,",,W,",9.4
2022-01-09T00:00:00,WSF5,GHCND:USW00014732,",,W,",12.1
2022-01-10T00:00:00,ADPT,GHCND:USW00014732,",,W,",-111.0
2022-01-10T00:00:00,ASLP,GHCND:USW00014732,",,W,",10196.0
2022-01-10T00:00:00,ASTP,GHCND:USW00014732,",,W,",10173.0
2022-01-10T00:00:00,AWBT,GHCND:USW00014732,",,W,",-33.0
2022-01-10T00:00:00,AWND,GHCND:USW00014732,",,W,",7.5
2022-01-10T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-10T00:00:00,RHAV,GHCND:USW00014732,",,W,",44.0
2022-01-10T00:00:00,RHMN,GHCND:USW00014732,",,W,",33.0
2022-01-10T00:00:00,RHMX,GHCND:USW00014732,",,W,",65.0
2022-01-10T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-10T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-10T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",1.6
2022-01-10T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",5.6
2022-01-10T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-3.2
2022-01-10T00:00:00,WDF2,GHCND:USW00014732,",,W,",310.0
2022-01-10T00:00:00,WDF5,GHCND:USW00014732,",,W,",320.0
2022-01-10T00:00:00,WSF2,GHCND:USW00014732,",,W,",11.6
2022-01-10T00:00:00,WSF5,GHCND:USW00014732,",,W,",15.7
2022-01-11T00:00:00,ADPT,GHCND:USW00014732,",,W,",-178.0
2022-01-11T00:00:00,ASLP,GHCND:USW00014732,",,W,",10312.0
2022-01-11T00:00:00,ASTP,GHCND:USW00014732,",,W,",10288.0
2022-01-11T00:00:00,AWBT,GHCND:USW00014732,",,W,",-89.0
2022-01-11T00:00:00,AWND,GHCND:USW00014732,",,W,",6.4
2022-01-11T00:00:00,PRCP,GHCND:USW00014732,"T,,W,2400",0.0
2022-01-11T00:00:00,RHAV,GHCND:USW00014732,",,W,",41.0
2022-01-11T00:00:00,RHMN,GHCND:USW00014732,",,W,",33.0
2022-01-11T00:00:00,RHMX,GHCND:USW00014732,",,W,",57.0
2022-01-11T00:00:00,SNOW,GHCND:USW00014732,"T,,W,",0.0
2022-01-11T00:00:00,SNWD,GHCND:USW00014732,"T,,W,2400",0.0
2022-01-11T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-5.4
2022-01-11T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",-3.2
2022-01-11T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-8.2
2022-01-11T00:00:00,WDF2,GHCND:USW00014732,",,W,",320.0
2022-01-11T00:00:00,WDF5,GHCND:USW00014732,",,W,",310.0
2022-01-11T00:00:00,WSF2,GHCND:USW00014732,",,W,",12.5
2022-01-11T00:00:00,WSF5,GHCND:USW00014732,",,W,",16.5
2022-01-12T00:00:00,ADPT,GHCND:USW00014732,",,W,",-106.0
2022-01-12T00:00:00,ASLP,GHCND:USW00014732,",,W,",10224.0
2022-01-12T00:00:00,ASTP,GHCND:USW00014732,",,W,",10224.0
2022-01-12T00:00:00,AWBT,GHCND:USW00014732,",,W,",-28.0
2022-01-12T00:00:00,AWND,GHCND:USW00014732,",,W,",4.4
2022-01-12T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-12T00:00:00,RHAV,GHCND:USW00014732,",,W,",44.0
2022-01-12T00:00:00,RHMN,GHCND:USW00014732,",,W,",36.0
2022-01-12T00:00:00,RHMX,GHCND:USW00014732,",,W,",55.0
2022-01-12T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-12T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-12T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",-1.9
2022-01-12T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",5.6
2022-01-12T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-6.6
2022-01-12T00:00:00,WDF2,GHCND:USW00014732,",,W,",220.0
2022-01-12T00:00:00,WDF5,GHCND:USW00014732,",,W,",220.0
2022-01-12T00:00:00,WSF2,GHCND:USW00014732,",,W,",8.9
2022-01-12T00:00:00,WSF5,GHCND:USW00014732,",,W,",11.2
2022-01-13T00:00:00,ADPT,GHCND:USW00014732,",,W,",-22.0
2022-01-13T00:00:00,ASLP,GHCND:USW00014732,",,W,",10149.0
2022-01-13T00:00:00,ASTP,GHCND:USW00014732,",,W,",10146.0
2022-01-13T00:00:00,AWBT,GHCND:USW00014732,",,W,",17.0
2022-01-13T00:00:00,AWND,GHCND:USW00014732,",,W,",2.6
2022-01-13T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-13T00:00:00,RHAV,GHCND:USW00014732,",,W,",64.0
2022-01-13T00:00:00,RHMN,GHCND:USW00014732,",,W,",46.0
2022-01-13T00:00:00,RHMX,GHCND:USW00014732,",,W,",79.0
2022-01-13T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-13T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-13T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.0
2022-01-13T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",7.8
2022-01-13T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",0.6
2022-01-13T00:00:00,WDF2,GHCND:USW00014732,",,W,",50.0
2022-01-13T00:00:00,WDF5,GHCND:USW00014732,",,W,",60.0
2022-01-13T00:00:00,WSF2,GHCND:USW00014732,",,W,",5.8
2022-01-13T00:00:00,WSF5,GHCND:USW00014732,",,W,",7.6
2022-01-14T00:00:00,ADPT,GHCND:USW00014732,",,W,",-33.0
2022-01-14T00:00:00,ASLP,GHCND:USW00014732,",,W,",10098.0
2022-01-14T00:00:00,ASTP,GHCND:USW00014732,",,W,",10081.0
2022-01-14T00:00:00,AWBT,GHCND:USW00014732,",,W,",6.0
2022-01-14T00:00:00,AWND,GHCND:USW00014732,",,W,",7.6
2022-01-14T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-14T00:00:00,RHAV,GHCND:USW00014732,",,W,",64.0
2022-01-14T00:00:00,RHMN,GHCND:USW00014732,",,W,",57.0
2022-01-14T00:00:00,RHMX,GHCND:USW00014732,",,W,",82.0
2022-01-14T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-14T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
2022-01-14T00:00:00,TAVG,GHCND:USW00014732,"H,,S,",4.8
2022-01-14T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",6.1
2022-01-14T00:00:00,TMIN,GHCND:USW00014732,",,W,2400",-5.5
2022-01-14T00:00:00,WDF2,GHCND:USW00014732,",,W,",350.0
2022-01-14T00:00:00,WDF5,GHCND:USW00014732,",,W,",360.0
2022-01-14T00:00:00,WSF2,GHCND:USW00014732,",,W,",13.4
2022-01-14T00:00:00,WSF5,GHCND:USW00014732,",,W,",18.3
2022-01-15T00:00:00,ADPT,GHCND:USW00014732,",,W,",-178.0
2022-01-15T00:00:00,ASLP,GHCND:USW00014732,",,W,",10247.0
2022-01-15T00:00:00,ASTP,GHCND:USW00014732,",,W,",10217.0
2022-01-15T00:00:00,AWBT,GHCND:USW00014732,",,W,",-106.0
2022-01-15T00:00:00,AWND,GHCND:USW00014732,",,W,",5.8
2022-01-15T00:00:00,PRCP,GHCND:USW00014732,",,W,2400",0.0
2022-01-15T00:00:00,RHAV,GHCND:USW00014732,",,W,",48.0
2022-01-15T00:00:00,RHMN,GHCND:USW00014732,",,W,",34.0
2022-01-15T00:00:00,RHMX,GHCND:USW00014732,",,W,",62.0
2022-01-15T00:00:00,SNOW,GHCND:USW00014732,",,W,",0.0
2022-01-15T00:00:00,SNWD,GHCND:USW00014732,",,W,2400",0.0
